error_message,label
Ağ hatası: net::ERR_NAME_NOT_RESOLVED,Network Hatası
WebDriverException: connection failed due to DNS error,Network Hatası
net::ERR_CONNECTION_CLOSED,Network Hatası
Network error: unable to resolve host,Network Hatası
org.openqa.selenium.WebDriverException: server not reachable,Network Hatası
WebDriverException: net::ERR_INTERNET_DISCONNECTED,Network Hatası
WebDriverException: net::ERR_CONNECTION_REFUSED,Network Hatası
unknown error: net::ERR_CONNECTION_TIMED_OUT,Network Hatası
DNS resolution failed: net::ERR_NAME_NOT_RESOLVED,Network Hatası
Ağ hatası: net::ERR_NAME_NOT_RESOLVED,Network Hatası
WebDriverException: connection failed due to DNS error,Network Hatası
net::ERR_CONNECTION_CLOSED,Network Hatası
Network error: unable to resolve host,Network Hatası
org.openqa.selenium.WebDriverException: server not reachable,Network Hatası
net::ERR_INTERNET_DISCONNECTED,Network Hatası
Network timeout: server not responding,Network Hatası
Connection failed: host unreachable,Network Hatası
Network error: 503 Service Unavailable,Network Hatası
Proxy connection failed,Network Hatası
Network error: DNS lookup failed,Network Hatası
API returned 404 Not Found,API Hatası
500 Internal Server Error,API Hatası
API endpoint not reachable,API Hatası
400 Bad Request in API call,API Hatası
API returned invalid JSON,API Hatası
403 Forbidden response,API Hatası
API bağlantısı başarısız,API Hatası
502 Bad Gateway,API Hatası
Too many requests: 429,API Hatası
API timeout: no response,API Hatası
Invalid API parameters,API Hatası
API service unavailable,API Hatası
Malformed API response,API Hatası
API error: missing header,API Hatası
API request failed,API Hatası
AssertionError: expected 'Success' but got 'Error',Assertion Hatası
Test failed: incorrect response data,Assertion Hatası
AssertionError: expected 'True' but got 'False',Assertion Hatası
Validation failed: value mismatch,Assertion Hatası
Expected text 'Welcome' not found,Assertion Hatası
Doğrulama hatası: beklenen değer bulunamadı,Assertion Hatası
AssertionError: list size mismatch,Assertion Hatası
Invalid credentials: login failed,Authentication Hatası
401 Unauthorized: token expired,Authentication Hatası
Invalid login: wrong credentials,Authentication Hatası
Access token invalid,Authentication Hatası
Authentication failed: wrong password,Authentication Hatası
Kimlik doğrulama hatası,Authentication Hatası
SQLException: database connection failed,Database Hatası
SQL query error: invalid syntax,Database Hatası
java.sql.SQLException: No suitable driver found,Database Hatası
Veritabanına bağlanılamadı,Database Hatası
Connection refused: database server,Database Hatası
Invalid SQL statement,Database Hatası
IndexOutOfBoundsException,Index Hatası
Array index out of range,Index Hatası
List index 5 exceeds size 3,Index Hatası
Invalid index access,Index Hatası
Index error: out of bounds,Index Hatası
java.lang.IllegalArgumentException: Locator for not found,Locator Hatası
NoSuchElementException: element 'giris_btn' not found,Locator Hatası
Cannot find element with xpath '//div[@id='form']',Locator Hatası
Locator 'submit_button' bulunamadı,Locator Hatası
By.cssSelector: .btn-primary not found,Locator Hatası
NullPointerException at line 45,Null Hatası
java.lang.NullPointerException,Null Hatası
Object reference not set,Null Hatası
Nesne başlatılmamış,Null Hatası
Null object accessed,Null Hatası
Environment server down: 503,Ortam Hatası
Test ortamı erişilemez,Ortam Hatası
QA server not responding,Ortam Hatası
Staging environment not reachable,Ortam Hatası
Service unavailable: 503,Ortam Hatası
IllegalStateException: driver not ready,State Hatası
WebDriver session invalid,State Hatası
Session not created,State Hatası
Invalid session id,State Hatası
WebDriverException: session deleted,State Hatası
TimeoutException: element not visible,Timeout Hatası
org.openqa.selenium.TimeoutException: Expected condition failed,Timeout Hatası
Element not visible after 10 seconds,Timeout Hatası
Waiting for element '//div[@class='modal']' timed out,Timeout Hatası
Timeout waiting for page to load,Timeout Hatası
TypeError: invalid type conversion,Type Error
ClassCastException: wrong type,Type Error
"TypeError: expected string, got int",Type Error
Wrong data type in method,Type Error
Type mismatch in parameters,Type Error
WebDriverException: browser crashed,Tarayıcı Hatası
ChromeDriver timeout,Tarayıcı Hatası
Browser not responding,Tarayıcı Hatası
WebDriver timeout,Tarayıcı Hatası
Browser closed unexpectedly,Tarayıcı Hatası
java.lang.IllegalArgumentException: Locator for not found,Locator Hatası
NoSuchElementException: element 'giris_btn' not found,Locator Hatası
Cannot find element with xpath '//div[@id='form']',Locator Hatası
Locator 'submit_button' bulunamadı,Locator Hatası
By.cssSelector: .btn-primary not found,Locator Hatası
org.openqa.selenium.NoSuchElementException,Locator Hatası
Element with id 'user_input' not present,Locator Hatası
Unable to locate element: //input[@name='email'],Locator Hatası
Dynamic ID caused element not found,Locator Hatası
Element not found in iframe,Locator Hatası
Locator 'zamanvedevamlilikk' bulunamadı,Locator Hatası
NoSuchElementException: element 'menu_item' not found,Locator Hatası
Cannot find element with css '.modal-dialog',Locator Hatası
XPath '//button[@id='save']' not found,Locator Hatası
Locator error: element 'form_submit' not found,Locator Hatası
WebDriverException: net::ERR_CONNECTION_REFUSED,Network Hatası
unknown error: net::ERR_CONNECTION_TIMED_OUT,Network Hatası
DNS resolution failed: net::ERR_NAME_NOT_RESOLVED,Network Hatası
Ağ hatası: net::ERR_NAME_NOT_RESOLVED,Network Hatası
WebDriverException: connection failed due to DNS error,Network Hatası
net::ERR_CONNECTION_CLOSED,Network Hatası
Network error: unable to resolve host,Network Hatası
org.openqa.selenium.WebDriverException: server not reachable,Network Hatası
net::ERR_INTERNET_DISCONNECTED,Network Hatası
Network timeout: server not responding,Network Hatası
Connection failed: host unreachable,Network Hatası
Network error: 503 Service Unavailable,Network Hatası
Proxy connection failed,Network Hatası
Network error: DNS lookup failed,Network Hatası
API returned 404 Not Found,API Hatası
500 Internal Server Error,API Hatası
API endpoint not reachable,API Hatası
400 Bad Request in API call,API Hatası
API returned invalid JSON,API Hatası
403 Forbidden response,API Hatası
API bağlantısı başarısız,API Hatası
502 Bad Gateway,API Hatası
Too many requests: 429,API Hatası
API timeout: no response,API Hatası
Invalid API parameters,API Hatası
API service unavailable,API Hatası
Malformed API response,API Hatası
API error: missing header,API Hatası
API request failed,API Hatası
AssertionError: expected 'Success' but got 'Error',Assertion Hatası
Test failed: incorrect response data,Assertion Hatası
AssertionError: expected 'True' but got 'False',Assertion Hatası
Validation failed: value mismatch,Assertion Hatası
Doğrulama hatası: beklenen değer bulunamadı,Assertion Hatası
Invalid credentials: login failed,Authentication Hatası
401 Unauthorized: token expired,Authentication Hatası
Invalid login: wrong credentials,Authentication Hatası
Access token invalid,Authentication Hatası
Kimlik doğrulama hatası,Authentication Hatası
SQLException: database connection failed,Database Hatası
SQL query error: invalid syntax,Database Hatası
java.sql.SQLException: No suitable driver found,Database Hatası
Veritabanına bağlanılamadı,Database Hatası
Connection refused: database server,Database Hatası
IndexOutOfBoundsException,Index Hatası
Array index out of range,Index Hatası
List index 5 exceeds size 3,Index Hatası
Invalid index access,Index Hatası
Index error: out of bounds,Index Hatası
NullPointerException at line 45,Null Hatası
java.lang.NullPointerException,Null Hatası
Object reference not set,Null Hatası
Nesne başlatılmamış,Null Hatası
Null object accessed,Null Hatası
Environment server down: 503,Ortam Hatası
Test ortamı erişilemez,Ortam Hatası
QA server not responding,Ortam Hatası
Staging environment not reachable,Ortam Hatası
Service unavailable: 503,Ortam Hatası
IllegalStateException: driver not ready,State Hatası
WebDriver session invalid,State Hatası
Session not created,State Hatası
Invalid session id,State Hatası
WebDriverException: session deleted,State Hatası
TimeoutException: element not visible,Timeout Hatası
org.openqa.selenium.TimeoutException: Expected condition failed,Timeout Hatası
Element not visible after 10 seconds,Timeout Hatası
Waiting for element '//div[@class='modal']' timed out,Timeout Hatası
Timeout waiting for page to load,Timeout Hatası
TypeError: invalid type conversion,Type Error
ClassCastException: wrong type,Type Error
"TypeError: expected string, got int",Type Error
Wrong data type in method,Type Error
Type mismatch in parameters,Type Error
WebDriverException: browser crashed,Tarayıcı Hatası
ChromeDriver timeout,Tarayıcı Hatası
Browser not responding,Tarayıcı Hatası
WebDriver timeout,Tarayıcı Hatası
Browser closed unexpectedly,Tarayıcı Hatası
java.lang.RuntimeException: URL not defined for the key,Ortam Hatası
RuntimeException: URL configuration missing for key,Ortam Hatası
URL not defined in configuration,Ortam Hatası
java.lang.RuntimeException: Invalid URL key in config,Ortam Hatası
Konfigürasyonda URL anahtarı bulunamadı,Ortam Hatası
